         3741936 function calls (3648040 primitive calls) in 2.102 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.000    0.000    0.003    0.000 _make.py:308(_transform_attrs)
  652/317    0.000    0.000    0.080    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      849    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       68    0.000    0.000    0.000    0.000 uuid.py:121(__init__)
      400    0.000    0.000    0.000    0.000 protocol_messages.py:63(is_success)
      325    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      612    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      883    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
      402    0.000    0.000    0.007    0.000 executor.py:122(last_confirmed)
      200    0.000    0.000    0.000    0.000 protocol_messages.py:186(make_success_response)
      118    0.000    0.000    0.000    0.000 enum.py:70(__setitem__)
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      347    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:403(cached)
      185    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
  246/219    0.000    0.000    0.004    0.000 typing.py:248(inner)
       49    0.000    0.000    0.017    0.000 sre_compile.py:759(compile)
      866    0.000    0.000    0.000    0.000 libra_address.py:30(greater_than_or_equal)
       35    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      185    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      238    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       24    0.000    0.000    0.000    0.000 _make.py:1461(_attrs_to_init_script)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      705    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      571    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
      273    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      156    0.000    0.000    0.000    0.000 enum.py:376(__setattr__)
       11    0.000    0.000    0.000    0.000 enum.py:177(<setcomp>)
      179    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
       64    0.000    0.000    0.001    0.000 _make.py:1058(_generate_unique_filename)
      154    0.000    0.000    0.000    0.000 typing.py:165(_collect_type_vars)
    78/51    0.000    0.000    0.002    0.000 typing.py:340(__getitem__)
       49    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
      261    0.000    0.000    0.000    0.000 sample_command.py:30(__eq__)
        7    0.000    0.000    0.001    0.000 enum.py:654(<listcomp>)
       25    0.000    0.000    0.002    0.000 _make.py:1168(_make_eq)
      990    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      162    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
